PANTUN,PENGARANG,HIMPUNAN,TEMA,JENIS,RIMA_TENGAH_1,RIMA_TENGAH_2,RIMA_TENGAH_3,RIMA_TENGAH_4,RIMA_AKHIR_1,RIMA_AKHIR_2,RIMA_AKHIR_3,RIMA_AKHIR_4,MARKAH,PERKATAAN
"Tergantung kaca di tepi sarban, ukiran luar ayat Bismillah; Doa dibaca di Nisfu Syaaban, berharap biar dilindungi Allah.",CG Karmin Abbas,Pantun CG Karmin,Nisfu Syaaban,Agama,ca,ar,ca,ar,ban,lah,ban,lah,25.0,"sarban,, dilindungi, kaca, ukiran, dibaca, biar, Bismillah;, berharap, Allah., Syaaban,, Doa, luar, di, tepi, ayat, Nisfu, Tergantung"
"Di pulau tioman tidak lama, menjadi-jadi tengkujuh nanti; Tungguku teman bukannya lama, siap kemudi kudatang nanti.",CG Karmin Abbas,Pantun CG Karmin,"Tunggu, nanti, penantian","sabar,",man,di,man,di,ma,ti,ma,ti,25.0,"kemudi, lama,, siap, Tungguku, kudatang, teman, nanti;, pulau, bukannya, tidak, menjadi-jadi, tengkujuh, nanti., Di, tioman"
"Burung pipit makan jerami, bulu indah tak tampak riuh; Kini covid jadi pandemi, Rindu sudah berjalan jauh.",Hanny Marliana,Klinik Pantun Nusantara,Pandemi,Covid-19,pit,dah,vid,dah,mi,uh,mi,uh,24.0,"berjalan, covid, sudah, riuh;, tampak, Rindu, Kini, jadi, indah, Burung, jerami,, makan, bulu, pipit, pandemi,, jauh., tak"
"Buah kana di atas peti, payah kami menaruh lada; Berita zona silih berganti, Seakan pandemi tanpa jeda.",Hanny Marliana,Klinik Pantun Nusantara,Pandemi,Covid-19,na,mi,na,mi,ti,da,ti,da,25.0,"lada;, payah, Buah, jeda., berganti,, Seakan, Berita, pandemi, menaruh, kami, silih, tanpa, di, zona, atas, peti,, kana"
"Jika hendak menata kota, kota ditata tanpa sampah; Jika hendak menata kata, kata ditata tanpa sumpah.",Raudah Jambak,Klinik Pantun Nusantara,Budi Pekerti,Sopan Santun,dak,ta,dak,ta,ta,pah,ta,pah,25.0,"Jika, sampah;, ditata, menata, kata,, kota,, tanpa, sumpah., kata, hendak, kota"
"Kalau hendak menyimpan jeruk, cukup simpan di dalam peti; Kalau hendak menyimpan buruk, cukup simpan di dalam hati.",Raudah Jambak,Klinik Pantun Nusantara,Budi Pekerti,Nasihat,dak,pan,dak,pan,ruk,ti,ruk,ti,25.0,"dalam, buruk,, peti;, cukup, hati., simpan, jeruk,, hendak, menyimpan, di, Kalau"
"Pohon lada tumbuh sekitar, karat besi karena rawa; Tanyakan pada yang lebih pintar, atau diskusi sesama siswa.",Dr. Umar Zein,Klinik Pantun Nusantara,Pendidikan,Tunjuk Ajar,da,si,da,si,tar,wa,tar,wa,25.0,"yang, pintar,, diskusi, karena, Pohon, tumbuh, lebih, atau, lada, karat, pada, rawa;, sesama, Tanyakan, siswa., sekitar,, besi"
"Kulit rukam pahit rasanya, pohon lada tumbuh sekitar; Kalau tak tahu boleh tanya, tanya pada yang lebih pintar.",Dr. Umar Zein,Klinik Pantun Nusantara,Pendidikan,Tunjuk Ajar,kam,da,hu,da,nya,tar,nya,tar,24.0,"yang, rasanya,, tumbuh, tahu, lebih, tanya,, Kulit, pahit, lada, boleh, pohon, tanya, pada, sekitar;, pintar., rukam, Kalau, tak"
"Lebih tegas kulit kemiri, kulit rukam pahit rasanya; Kerjakan tugas yang diberi, kalau tak paham boleh tanya.",Dr. Umar Zein,Klinik Pantun Nusantara,Pendidikan,Tunjuk Ajar,gas,kam,gas,ham,ri,nya,ri,nya,24.0,"yang, tegas, tugas, Kerjakan, kemiri,, rasanya;, kalau, pahit, Lebih, kulit, boleh, tanya., paham, diberi,, rukam, tak"
"Buah pala keras kulitnya, lebih tegas kulit kemiri; Turut segala bimbingannya. kerjakan tugas yang diberi.",Dr. Umar Zein,Klinik Pantun Nusantara,Pendidikan,Tunjuk Ajar,la,gas,la,gas,nya,ri,nya,ri,25.0,"kemiri;, tegas, tugas, segala, yang, Turut, Buah, lebih, keras, kulit, pala, bimbingannya., kulitnya,, diberi., kerjakan"
"Nampak kemumu lapis empat, buah pala keras kulitnya Agar ilmu cepat didapat; turut segala bimbingannya.",Dr. Umar Zein,Klinik Pantun Nusantara,Pendidikan,Tunjuk Ajar,mu,la,mu,la,pat,nya,pat,nya,25.0,"segala, kemumu, turut, empat,, cepat, Agar, lapis, keras, pala, bimbingannya., ilmu, didapat;, buah, kulitnya, Nampak"
"Daun lipat pangkal sisinya, nampak kemumu lapis empat; Guru tempat kita bertanya, agar ilmu cepat didapat.",Dr. Umar Zein,Klinik Pantun Nusantara,Pendidikan,Tunjuk Ajar,pat,mu,pat,mu,nya,pat,nya,pat,25.0,"pangkal, agar, nampak, kemumu, tempat, cepat, lapis, Guru, empat;, lipat, kita, bertanya,, ilmu, sisinya,, Daun, didapat."
"Dipahat-pahat batang bambu, daun lipat pangkal sisinya; Dengar nasehat ayah ibu, guru tempat kita bertanya.",Dr. Umar Zein,Klinik Pantun Nusantara,Pendidikan,Tunjuk Ajar,hat,pat,hat,pat,bu,nya,bu,nya,25.0,"Dipahat-pahat, pangkal, nasehat, Dengar, tempat, batang, ibu,, kita, lipat, bertanya., sisinya;, guru, ayah, daun, bambu,"
"Letak cerana sebagai tanda, genap antara orang bersila. Itulah makna lepasnya jeda. cantik acara pantun pemula.",CG Karmin Abbas,CG Karmin Abbas,"Adab, Sopan","Istiadat, Majlis",na,ra,na,ra,da,la,da,la,25.0,"cantik, antara, lepasnya, genap, jeda., Itulah, tanda,, bersila., pemula., makna, pantun, cerana, acara, orang, Letak, sebagai"
"Sungguhlah cantik Janda Berhias, kelok kerawang pandang tak jemu; Tinggi  estetik lisan berkias, dapatlah orang menimba ilmu.",CG Karmin Abbas,Pantun Warisan,Ilmu,Pantun Warisan,tik,wang,tik,rang,as,mu,as,mu,25.0,"Janda, cantik, orang, estetik, berkias,, jemu;, menimba, ilmu., dapatlah, lisan, Sungguhlah, kerawang, pandang, kelok, Tinggi, Berhias,, tak"
"Dari Jawa ke Bengkahulu, membeli keris di Inderagiri; Kawan ketawa ramai selalu, kawan menangis seorang diri.",Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Patah hati,Pantun Patah hati,wa,ris,wa,ngis,lu,ri,lu,ri,23.0,"selalu,, seorang, Inderagiri;, ramai, ketawa, Kawan, menangis, Jawa, Bengkahulu,, kawan, keris, di, membeli, ke, Dari, diri."
"Ayam rintik di pinggir hutan, nampak dari tepi telaga; Nama  yang baik jadi ingatan, seribu tahun terkenang juga.",Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Pantun Budi,Pantun Budi,tik,ri,ik,hun,tan,ga,tan,ga,24.0,"yang, dari, seribu, nampak, Nama, baik, juga., terkenang, telaga;, jadi, rintik, hutan,, pinggir, ingatan,, tahun, Ayam, di, tepi"
"Apa guna pergi ke ladang,    bila padi tidak bertuai; Apa guna menanti abang,    bila adik tidak sesuai.",Hamba Allah,Pantun Warisan,Perhubungan,Perasaan,na,di,na,dik,dang,ai,bang,ai,24.0,"abang,, adik, menanti, padi, pergi, ladang,, bertuai;, sesuai., tidak, Apa, guna, bila, ke"
"Kumbang jati di pohon sena, nampak kecil kuat menyengat; Walau hati sedang gulana, namun kita kuat semangat.",Aulia nur zannah (Diedit),"Program Balai Pantun & Klinik Pantun, Mac 2021",Semangat,Pantun nasehat,ti,cil,ti,ta,na,ngat,na,ngat,25.0,"sena,, nampak, sedang, kuat, menyengat;, kita, hati, jati, pohon, kecil, Walau, gulana,, namun, di, semangat., Kumbang"
"Ondak kalaut angin pun koncang, pogi barat ditokan tunggaro; Wahai corona cepatlah hilang, tak sabar nak jumpa kawan lamo.",Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021","Pandemi, Korona","Perasaan, emosi",ut,rat,na,nak,cang,ro,lang,mo,21.0,"kawan, tak, lamo., nak, tunggaro;, koncang,, cepatlah, angin, pogi, barat, kalaut, sabar, jumpa, hilang,, corona, Wahai, ditokan, Ondak, pun"
"Merbuk berkukur cuaca redup, ada di kaki Bukit Serosa; Sering bersyukur tempuhi hidup, apa rezeki cukup dirasa.",CG Karmin Abbas,Facebook,Syukur,Nasihat,kur,ki,kur,ki,dup,sa,dup,sa,25.0,"rezeki, tempuhi, Serosa;, dirasa., bersyukur, cuaca, cukup, ada, kaki, berkukur, Bukit, Sering, apa, redup,, hidup,, Merbuk, di"
"Anak Dara sepasang berdandan, sambil berdendang perelok diri; Hati nan lara liatkan badan, ambil selendang kita menari.",Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Nasehat,Pantun nasehat,ra,dang,ra,dang,dan,ri,dan,ri,25.0,"lara, nan, Dara, berdandan,, selendang, Hati, menari., kita, badan,, diri;, ambil, liatkan, Anak, sepasang, perelok, sambil, berdendang"
"Buah duku di tepi laman, kupas lima disiat siat; Jika mengaku orang beriman, bersama-sama elak maksiat.",Aulia nur zannah,"Program Balai Pantun & Klinik Pantun, Mac 2021",Beriman,Pantun nasehat,ku,ma,ku,ma,man,at,man,at,25.0,"Jika, elak, orang, Buah, disiat, kupas, maksiat., beriman,, mengaku, lima, bersama-sama, duku, siat;, laman,, di, tepi"
Pokok beluntas di tepi jalan Dahan yang rebah jangan dilangkah Tangan di atas buat amalan Rizki bertambah bertabur berkah,Laila,Penggemar Pantun,Nasihat,Agama,tas,bah,tas,bah,lan,kah,lan,kah,25.0,"yang, atas, amalan, beluntas, dilangkah, jangan, berkah, Pokok, rebah, bertabur, Tangan, jalan, Rizki, di, tepi, buat, bertambah, Dahan"
"Makan korang bersambal nenas, bubur podas dibuat takjil; Arahan terang  sungguh bernas, tambah cerdas dapatkan sijil.","SMA Negeri 1, Barus, Sumatera",Pandai Karang Pantun,Menuntut Ilmu,Sanjungan,rang,das,rang,das,nas,jil,nas,jil,25.0,"bersambal, Makan, cerdas, dapatkan, bubur, bernas,, takjil;, sijil., nenas,, dibuat, podas, sungguh, tambah, korang, Arahan, terang"
"Tidak berhenti hujan turun, cuaca redup makin lebat; Cetus hati dosa berkurun, dalam hidup banyakkan taubat.",Roslan Madun,Klinik Pantun,Taubat,Agama,ti,dup,ti,dup,run,bat,run,bat,25.0,"hidup, dalam, lebat;, turun,, Tidak, makin, taubat., hati, berkurun,, Cetus, banyakkan, hujan, berhenti, cuaca, redup, dosa"
di sana gunung di sini gunung nampak berbalam si pohon jati di sana menung di sini menung hendak bersalam tak sampai hati,Roslan Madun,Penggemar Pantun,Persahabatan,"Budaya, Sopan-santun",nung,lam,nung,lam,nung,ti,nung,ti,25.0,"nampak, sampai, menung, si, hati, gunung, sana, jati, pohon, berbalam, hendak, sini, di, bersalam, tak"
"Kepodang emas paruh suasa,  Sebanyak lima terbang melayang; dulu lemas tidak biasa, Lama-lama berasa sayang.",CG Karmin Abbas,Burung dan Unggas,Sayang. Cinta,"Haiwan, unggas",mas,ma,mas,ma,sa,yang,sa,yang,25.0,"Kepodang, lemas, emas, terbang, Lama-lama, melayang;, lima, berasa, Sebanyak, suasa,, tidak, sayang., biasa,, paruh, dulu"
"Tebang-tebang si batang kayu, asal kayu sepohon zaitun; Makin kembang resam Melayu, tidak layu berbalas pantun .",Sriyana,"Program Balai Pantun & Klinik Pantun, Mac 2021",Adat budaya,Warisan Budaye,bang,yu,bang,yu,yu,tun,yu,tun,25.0,"resam, asal, ., batang, layu, Tebang-tebang, si, zaitun;, kayu,, sepohon, kembang, Makin, Melayu,, tidak, pantun, kayu, berbalas"
"Anak udang udang lah juga, takkan  jadi anak tenggiri; Anak orang terpisah juga, takkan jadi  anak sendiri.",Mhd Chair bas budianto (Diedit),"Program Balai Pantun & Klinik Pantun, Mac 2021",Jenaka,Jenaka,dang,di,rang,di,ga,ri,ga,ri,24.0,"terpisah, anak, jadi, juga,, takkan, lah, sendiri., orang, Anak, tenggiri;, udang"
"Elok rupa si bunga raya, harum puspa di Kota Mekkah; Elok tempa menjadi kaya, tidak lupa banyak sedekah.",Nurul Annisa (Diedit),"Program Balai Pantun & Klinik Pantun, Mac 2021",Teringin Kaya,Pantun Agama,pa,pa,pa,pa,ya,kah,ya,kah,25.0,"lupa, kaya,, Mekkah;, raya,, si, harum, puspa, Kota, rupa, menjadi, bunga, banyak, Elok, tidak, di, tempa, sedekah."
"Tiada kata mematah parang, tiada sampai dapat digalah; Baik mata di rantau orang,  jangan sampai berbuat salah.",Juliano Adjie Mansiz,"Program Balai Pantun & Klinik Pantun, Mac 2021",Menjaga Sikap,Nasihat,ta,pai,ta,pai,rang,lah,rang,lah,25.0,"rantau, sampai, mata, jangan, Baik, tiada, parang,, orang,, berbuat, kata, mematah, salah., di, digalah;, dapat, Tiada"
"Mari bersama menarek pukat, tali di sampan kita tambatkan; Elok sesama kita berpakat, dendam tersimpan elok lupakan.",Samsul Arifin,"Program Balai Pantun & Klinik Pantun, Mac 2021",Budi,Nasehat,ma,pan,ma,pan,kat,kan,kat,kan,25.0,"sampan, tambatkan;, tersimpan, lupakan., menarek, kita, berpakat,, Mari, elok, bersama, pukat,, Elok, sesama, dendam, di, tali"
"Berjulat-julat pancaran kilat, di situ juga hujan bersemi; Di dalam solat  bergerak silat, di situ juga  silaturrahmi.",CG Karmin Abbas,Pantun Silat,"Silat, Silaturrahmi","Muhibbah, Persaudaraan",lat,ga,lat,ga,lat,mi,lat,mi,25.0,"bersemi;, Berjulat-julat, dalam, silaturrahmi., silat,, pancaran, juga, Di, hujan, bergerak, di, situ, kilat,, solat"
"Dikerat-kerat batang tebu, daun lipat pangkal sisinya; Dengar nasehat ayah ibu, guru tempat kita bertanya.",Dr. Umar Zein,Pantun Pendidikan,Tunjuk Ajar,Nasehat,rat,pat,hat,pat,bu,nya,bu,nya,24.0,"nasehat, pangkal, tempat, batang, Dikerat-kerat, ibu,, kita, lipat, bertanya., sisinya;, guru, ayah, tebu,, daun, Dengar"
Buah keladi besar bentuknya Membuat kita sangat bersemangat Buang sampah pada tempatnya Agar kita semua menjadi sehat,Aulia nur zannah,"Program Balai Pantun & Klinik Pantun, Mac 2021",Sampah,Pantun nasehat,di,ta,pah,a,nya,ngat,nya,hat,19.0,"sangat, tempatnya, besar, Buah, sehat, keladi, Agar, kita, bentuknya, sampah, pada, menjadi, Buang, bersemangat, semua, Membuat"
Mari berjalan kekota medan Singgah sebentar di sembawa Mari beriman juga Budiman Itulah agar masuk ke surga,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",nasehat,Pantun nasehat,lan,tar,man,gar,dan,wa,man,ga,18.0,"sebentar, berjalan, agar, masuk, ke, medan, Itulah, Mari, beriman, juga, Singgah, sembawa, kekota, di, surga, Budiman"
Memotong kayu dibelanga  Kayu disusun dibuat suluh Pantang melayu menderhaka Hamba susun jari sepuluh,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Penghormatan,Penghormatan,yu,sun,yu,sun,nga,luh,ka,luh,22.0,"disusun, menderhaka, sepuluh, susun, suluh, Memotong, dibuat, jari, dibelanga, Pantang, Kayu, melayu, Hamba, kayu"
Kalau tinggi tinggi selasih Walau tinggi berdaun jangan Kalau pergi pergilah kasih Walau pergi bertahun jangan,Agus kurniawan,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,gi,gi,gi,gi,sih,ngan,sih,ngan,25.0,"tinggi, jangan, bertahun, pergi, berdaun, Walau, kasih, pergilah, selasih, Kalau"
"Jalan"" ke gunting saga Jangan lupa makan gule lomak Copatlah pogi korona Biar bebas ondak bagorak",Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,ke,pa,lah,bas,ga,mak,na,rak,13.0,"lupa, Copatlah, saga, gunting, pogi, bebas, ondak, bagorak, Jalan"", lomak, Biar, makan, korona, Jangan, ke, gule"
Sepohon kayu daunnya rimbun Lebat buahnya serta bunganya Walaupun hidup seribu tahun Kalo kena corona tak ada gunanya,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,yu,nya,dup,na,bun,nya,hun,nya,16.0,"hidup, seribu, corona, gunanya, Lebat, serta, buahnya, Walaupun, kena, daunnya, Kalo, ada, bunganya, rimbun, tahun, Sepohon, kayu, tak"
Bala bukan sembarang bala Bala datang sampai sini Karna engkau wahai corona Mahasiswa malas mandi,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,kan,tang,kau,wa,la,ni,na,di,14.0,"corona, sini, sampai, sembarang, mandi, wahai, datang, engkau, malas, bukan, Mahasiswa, Bala, bala, Karna"
"Jalan"" ke kota tebing Singgah sebentar beli kalkulator Bukan korona yg buat pening Tapi bayar cicilan motor",Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,ke,tar,na,yar,bing,tor,ning,tor,15.0,"sebentar, ke, Tapi, cicilan, motor, Jalan"", tebing, Bukan, bayar, Singgah, korona, yg, pening, kalkulator, kota, beli, buat"
"Anak lajang anak gadis Biasanya ramah ramah Terima kasih para medis Teruntuk kita,stay dirumah",Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,jang,nya,sih,ta,dis,mah,dis,mah,17.0,"gadis, ramah, para, Biasanya, anak, Terima, dirumah, Teruntuk, kasih, lajang, kita,stay, Anak, medis"
Tanjung katung airnya biru Tanjung balai si kota kerang Karena corona hatiku pilu Tak bisa jumpa dengan si abang,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,tung,lai,na,pa,ru,rang,lu,bang,18.0,"corona, abang, bisa, Karena, katung, kerang, dengan, si, Tanjung, balai, jumpa, airnya, Tak, hatiku, pilu, kota, biru"
Virus korona semakin ganas Tak bisa dipukul pakai tong Izin dari rumah ngerjain tugas Sampe diluar ikutan nongkrong,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,na,sa,ri,luar,nas,tong,gas,krong,17.0,"rumah, dari, tugas, nongkrong, bisa, ngerjain, pakai, Sampe, ikutan, Virus, korona, ganas, Tak, semakin, diluar, tong, dipukul, Izin"
"Banyak keringat banyak daki Banyak daki,pakaila lulur Kuda apa yg tak berkaki Ya jelas kuda catur",Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,ngat,ki,pa,las,ki,lur,ki,tur,15.0,"keringat, daki,pakaila, berkaki, catur, daki, Ya, kuda, apa, Kuda, Banyak, jelas, banyak, yg, lulur, tak"
Beli mangga  Beli pula ketimun Ada corona Tiap hari melamun,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,li,la,da,ri,ga,mun,na,mun,12.0,"corona, hari, Tiap, melamun, ketimun, Ada, Beli, mangga, pula"
Persegi panjang punya luas Hasil panjang dikali lebar Walau tidak di dalam kelas Masih tetap bisa belajar,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,jang,jang,dak,tap,as,bar,las,jar,19.0,"dikali, dalam, bisa, panjang, Hasil, belajar, luas, lebar, kelas, punya, Walau, tidak, di, Masih, tetap, Persegi"
Pegi ke pasar membeli ketan Kantung tercampak sia-sia Mari kita jaga kesehatan Karena corona tak kenal usia,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,sar,tung,ta,na,tan,sia,tan,a,15.0,"Pegi, Kantung, corona, usia, Karena, ketan, kita, pasar, Mari, tercampak, sia-sia, kenal, jaga, kesehatan, membeli, ke, tak"
"Hujan deras membuat basah Sampai"" bisa sakit Gara"" covid tak kuliah Tugas menumpuk otakpun rumit",Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,ras,pai,vid,puk,sah,kit,liah,mit,12.0,"rumit, covid, basah, bisa, Tugas, Sampai"", deras, sakit, kuliah, menumpuk, otakpun, Gara"", membuat, Hujan, tak"
Sungguh elok berbatang lebar Tidak nampak basah kuyupnya Sungguh elok orang penyabar Tidak nampak susah hidupnya,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,lok,pak,lok,pak,bar,nya,bar,nya,25.0,"berbatang, Sungguh, nampak, basah, Tidak, kuyupnya, elok, lebar, penyabar, hidupnya, orang, susah"
Banyak banyak membuat termal  Jermal di buat di air dangkal  Banyak banyak berbuat amal Amal di buat menjadi bekal,Agung Prabowo,"Program Balai Pantun & Klinik Pantun, Mac 2021",Agama,Nasuhat,nyak,at,nyak,at,mal,kal,mal,kal,23.0,"Amal, membuat, dangkal, air, bekal, Banyak, termal, banyak, berbuat, menjadi, di, Jermal, buat, amal"
Mana galah digalahkan juga Kalau layar dilayarkan pula Mana salah disalahkan juga Kalau benar dibenarkan pula,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,lah,yar,lah,nar,ga,la,ga,la,24.0,"disalahkan, Mana, dibenarkan, galah, pula, benar, juga, layar, digalahkan, salah, dilayarkan, Kalau"
Banyak-banyak membuat termal Jermal dibuat di air dangkal Banyak-banyak berbuat amal Amal dibuat menjadi bekal,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,nyak,at,nyak,at,mal,kal,mal,kal,23.0,"Amal, dibuat, membuat, dangkal, air, bekal, menjadi, termal, Banyak-banyak, berbuat, di, Jermal, amal"
hari demi hari berlalu melintas   dengan keringat yang telah   ditebang tapi hati tak selalu terbungkus dengan keadaan yang terus mendalam,zuranda,"Program Balai Pantun & Klinik Pantun, Mac 2021",hati,,ri,ngat,ti,yang,tas,lah,kus,lam,13.0,"hari, keringat, yang, demi, tapi, melintas, telah, dengan, terbungkus, keadaan, hati, ditebang, terus, selalu, berlalu, mendalam, tak"
Tidak berguna memasak rebung Rebung berasal dari pohon bambu Tidak berguna rajin menabung Bila sedekah saja tak mau,Nurul Annisa,"Program Balai Pantun & Klinik Pantun, Mac 2021",Sedekah,Pantun Agama,na,sal,na,kah,bung,bu,bung,mau,20.0,"saja, berguna, dari, berasal, Tidak, memasak, sedekah, mau, bambu, pohon, Rebung, menabung, Bila, rebung, rajin, tak"
Jeruji bukan sembarang jeruji  Jeruji di ambil dalam jembangan  Jika sudah kita berjanji  Tolong ingat dilupa jangan,Juliano A Mansiz,"Program Balai Pantun & Klinik Pantun, Mac 2021",Janji,Peringatan,kan,bil,dah,ngat,ji,ngan,ji,ngan,23.0,"Jika, dalam, dilupa, ingat, sudah, jangan, kita, Jeruji, sembarang, ambil, jembangan, jeruji, Tolong, bukan, di, berjanji"
"Batang sirih menjalar di kayu, kayu di jalar dengan teratur; Sekapur sirih adat resam melayu, budaya bangsa warisan leluhur.",Widyya Utari,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,rih,lar,rih,sa,yu,tur,yu,hur,21.0,"jalar, Sekapur, resam, bangsa, warisan, menjalar, teratur;, Batang, dengan, leluhur., kayu,, sirih, adat, di, kayu, melayu,, budaya"
Huru hara dijalan Turi  Raisya menari dilantai empat Harta benda dapatlah dicari Rasa bahagia susah didapat,Muslina Mangunsong,"Program Balai Pantun & Klinik Pantun, Mac 2021",Budi,Nasihat,ra,ri,da,gia,ri,pat,ri,pat,22.0,"empat, Turi, Rasa, Huru, benda, menari, Harta, didapat, dilantai, bahagia, dapatlah, dijalan, Raisya, hara, susah, dicari"
Huru hara dijalan Turi Raisya juri ajang pencarian bakat  Harta benda dapatlah dicari Rasa bahagia susah didapat,Muslina Mangunsong,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,ra,jang,da,gia,ri,kat,ri,pat,20.0,"Rasa, Turi, Huru, benda, ajang, Harta, bakat, pencarian, didapat, juri, bahagia, dapatlah, dijalan, Raisya, hara, susah, dicari"
Dari siang mendapat malam Menghalau gelap menanti pagi Mari tuan kita berjabat salam Semoga janji tak berobah lagi,Samsul Bahri,"Program Balai Pantun & Klinik Pantun, Mac 2021",Bersalaman,Pantun Nasehat,siang,lap,ta,ji,lam,gi,lam,gi,18.0,"tuan, berobah, Menghalau, menanti, malam, pagi, salam, kita, Semoga, Mari, berjabat, gelap, siang, mendapat, lagi, janji, Dari, tak"
Rentak gendang gendang melayu Mendengar sambil menggambar batik Jangan lah tengok rupa nan ayu Pandanglah pada hati yang baik,Muslina Mangunsong,"Program Balai Pantun & Klinik Pantun, Mac 2021",Pantun budi,Pantun nasihat,dang,bil,ngok,da,yu,tik,yu,ik,20.0,"yang, Rentak, batik, nan, menggambar, gendang, Pandanglah, baik, tengok, ayu, hati, Mendengar, rupa, pada, lah, Jangan, melayu, sambil"
Burung nuri terbanglah tinggi Singgah sebentar di pohon pinang Tidaklah hati sedih kembali Kekasih hati datang meminang,Widyya Utari,"Program Balai Pantun & Klinik Pantun, Mac 2021",senang hati hendak di pinang,Pantun Muda Mudi,ri,tar,ti,ti,gi,nang,li,nang,20.0,"sebentar, tinggi, Kekasih, kembali, terbanglah, hati, meminang, Tidaklah, datang, Burung, pohon, Singgah, pinang, sedih, nuri, di"
Legit lah legit sih pulut ketan Dimasak dengan santan dan gula Kalaulah hendak bahagia dalam kehidupan Haruslah dengar nasihat orang tua,Widyya Utari,"Program Balai Pantun & Klinik Pantun, Mac 2021",Berkah nasihat orang tua,Pantun Nasihat,git,ngan,gia,ngar,tan,la,pan,a,13.0,"dalam, pulut, legit, Legit, bahagia, lah, orang, dengan, Dimasak, hendak, sih, kehidupan, Kalaulah, gula, dengar, nasihat, dan, santan, ketan, tua, Haruslah"
Bulan purnama mengukir taji Anak raja mandi berkisar Siapa dia ingkar janji  Akan didakwa di padang masyar,Samsul Bahri,"Program Balai Pantun & Klinik Pantun, Mac 2021",Ingkar janji,Pantun Nasehat,ma,ja,a,wa,ji,sar,ji,yar,19.0,"dia, Siapa, purnama, taji, Akan, didakwa, berkisar, mandi, Bulan, ingkar, masyar, padang, mengukir, raja, Anak, janji, di"
Anak cina bertimang madat Bertimang madat sampai ke Deli Hidup di dunia elok beradat Budi bahasa tidak boleh dijual beli,Samsul Bahri,"Program Balai Pantun & Klinik Pantun, Mac 2021",Budi Bahasa,Pantun Nasehat,na,dat,a,dak,dat,li,dat,li,17.0,"elok, dunia, di, ke, beli, Deli, sampai, bahasa, tidak, Bertimang, Budi, madat, Hidup, bertimang, cina, boleh, beradat, Anak, dijual"
Bunga mawar bunga melati Kala dicium harum baunya Banyak cara sembuhkan hati Baca Quran paham maknanya,Samsul Bahri,"Program Balai Pantun & Klinik Pantun, Mac 2021",Baca Al-Qur'an,Pantun Nasehat,war,cium,ra,ran,ti,nya,ti,nya,18.0,"cara, maknanya, baunya, Kala, harum, Bunga, hati, sembuhkan, Banyak, bunga, Baca, Quran, dicium, paham, mawar, melati"
Sungguh elok berdaun lebat Tidak nampak busuk buahnya Sungguh elok anak pejabat Tidak nampak sedih hidupnya,Vedri Osa Madewa,"Program Balai Pantun & Klinik Pantun, Mac 2021",,,lok,pak,lok,pak,bat,nya,bat,nya,25.0,"Sungguh, nampak, Tidak, anak, busuk, elok, berdaun, sedih, hidupnya, lebat, pejabat, buahnya"
Malam hari kepantai rupat Membawa suluh mencari ikan Kalam ilahi membawa berkat Akan kita jadikan suri tauladan,Samsul Bahri,"Program Balai Pantun & Klinik Pantun, Mac 2021",Kalam Illahi,Pantun Nasehat,ri,luh,hi,kan,pat,kan,kat,dan,17.0,"hari, Membawa, berkat, Kalam, rupat, suri, suluh, Akan, ilahi, kita, ikan, tauladan, mencari, jadikan, Malam, kepantai, membawa"
